Genes,E-M-DEAE-E1,E-M-DEAE-E2,E-M-DEAE-FT_G,E-M-DEAE-E1_G,E-TFF1_R,E-TFF1_M
IGKV3-7,65.3638,3.8256,75.3034,0.8499,105.6271,42.2759
IGLV4-69,8.5736,1.0633,8.9688,0.0662,7.1512,4.1756
IGLV8-61,23.2356,0.9832,21.7259,0.1849,20.9832,8.0915
IGLV4-60,0.5819,0.2699,0.4544,0.281,0.6733,0.2681
IGLV10-54,1.2439,0.2782,1.1374,0.0261,1.5944,0.7116
IGLV7-46,29.1459,2.1715,28.4724,0.2671,27.1674,11.1095
IGLV5-37,0.3539,0.0338,0.2301,0.0837,0.407,0.2289
IGLV2-18,4.3661,0.3038,3.8481,0.0421,4.1403,1.6727
IGLV3-16,0.4024,0.1398,0.2739,0.0216,0.7664,0.272
IGLV3-10,10.5882,0.7676,11.9215,0.3518,18.9864,5.8391
IGLV3-9,2.9435,0.2793,3.0107,0.0548,6.1115,1.5304
IGLV4-3,0.7452,0.2382,0.7924,0.2323,1.3803,0.3014
IGHV3-64,1.291,0.1595,1.7775,0.2942,2.2726,0.7762
IGHV4-4,3.8779,0.5507,5.8753,0.0677,7.621,2.3411
IGKV2D-29;IGKV2-29,1.1066,0.0315,0.8602,0.0129,0.9539,0.374
IGLV5-45,2.3134,0.2538,2.9217,0.0474,1.7873,1.2747
IGHV4-30-2,1.5877,0.1411,1.8719,0.1066,3.1038,1.2332
IGKV3D-15,3.1692,0.1951,3.3143,0.0371,3.6706,1.6789
IGKV2-40;IGKV2D-40,9.6635,0.6059,8.682,0.181,10.2498,3.66
IGKV3D-11;IGKV3-11,58.6038,3.4352,52.6956,0.5947,66.9411,32.398
IGHV1-45,0.517,0.1169,0.2015,0.0099,0.3225,0.1821
IGHV3-49,4.8929,0.292,5.3357,0.0194,5.741,2.0176
IGKV6D-21;IGKV6D-41,1.5951,0.2627,1.2141,0.0131,1.6245,0.6369
IGKJ1,2.1023,0.511,1.7654,0.0322,1.9023,0.8625
IGHV6-1,30.2768,2.1252,31.1077,0.3868,35.3904,13.8455
IGHV3-15,128.8774,5.6007,128.4552,1.5067,168.9048,64.7033
IGHV2-26,3.1424,0.1727,3.4885,0.045,4.1419,1.9551
IGHV3-73,4.363,0.1262,2.5088,0.0459,3.8696,1.614
IGHV3-74,54.933,5.1606,54.319,0.9655,77.5188,27.8069
IGHV3-43,1.0312,0.0681,0.8146,0.1331,0.6147,0.1268
IGLV9-49,2.1319,0.4238,2.406,0.1599,3.5577,1.0967
IGHV3-72,9.0841,1.1854,12.5666,0.2434,11.1107,3.6425
IGKV6-21,2.9086,0.1935,3.0651,0.0364,4.1185,1.3773
IGKV3D-20,13.4752,0.9037,14.3699,0.1443,17.4207,7.4869
IGHV1-18,1.1453,0.0238,0.7831,0.0713,0.736,0.3674
IGHV4-28,6.2558,0.5827,7.3228,0.1303,9.7759,3.393
IGHV3-35,3.3232,0.3502,2.9905,0.0486,2.4488,1.2365
IGHV3-38,2.0553,0.143,2.2877,0.0339,2.9728,1.3699
IGHV5-51,12.1537,1.0639,10.814,0.1089,12.6676,4.1428
IGHV2-70D,9.9611,0.5803,12.5955,0.1379,14.1819,6.0931
IGKV1-8,0.261,0.2129,0.4563,0.0082,0.5632,0.3033
IGKV2-24,25.8249,2.8542,31.2312,0.4638,37.0073,12.5633
IGLV5-39,1.2953,0.3587,1.5832,0.2176,1.0695,0.4827
IGHV3-64D,8.4174,0.5718,9.6058,0.1282,8.9984,4.8306
IGHV5-10-1,5.3522,0.5031,6.4739,0.0766,17.7803,2.8963
ERFL,37.7442,0.4406,29.495,0.2918,36.1769,17.9342
PWWP4,6.9358,0.1745,4.1216,0.1152,3.1186,1.2031
RPSA2;RPSA,5.1941,1.4548,4.1654,1.5471,2.5791,2.9347
UBA6,0.8035,0.6863,0.5371,0.7758,1.15,0.5547
ESYT2,0.4764,1.8104,0.6139,1.6208,1.2361,0.6919
BLTP3B,0.1012,0.117,0.104,0.0863,0.3515,0.1038
IGLC7,0.6535,0.0572,0.811,0.0105,0.796,0.2985
ARHGAP10,0.2388,0.0791,0.1679,0.1099,0.3734,0.1339
ILVBL,0.6013,0.4667,0.7098,0.3603,1.0416,0.1151
SSC5D,1.5969,0.2332,3.4269,0.0801,0.764,1.5592
SH3PXD2B,2,0.6073,0.8409,0.6148,0.8874,0.4425
NBAS,0.5751,0.2658,0.6074,0.3188,0.8194,0.5039
DENND3,0.2469,0.0628,0.1802,0.0442,0.2843,0.1365
VPS37C,0.5502,0.5931,0.4246,0.6646,0.2156,0.3837
CNOT1,0.3532,0.2613,0.0603,0.0746,0.3262,0.206
PGP,0.1244,0.5033,0.3809,0.6001,0.5406,0.2665
DDTL;DDT,0.2829,0.5621,0.3598,1.3811,0.4898,0.2783
UNC119B,0.061,0.0561,0.16,0.1366,0.2392,0.1137
RAP1BL;RAP1B,8.9645,4.2583,7.5348,6.9275,4.198,5.7858
ABTB3,0.8818,0.0232,0.7594,0.0418,0.7592,0.434
RTL8C,0.2899,0.1834,0.2105,0.3289,0.3423,0.1658
SMIM1,0.2544,0.135,0.2136,0.1115,0.261,0.0655
EIF3CL;EIF3C,0.1371,0.4201,0.4225,0.4476,0.5333,0.4197
IGLL5,175.0558,7.7331,167.3311,1.5701,240.0507,75.4106
WASH3P;WASH2P,0.2257,0.1381,0.2327,0.1487,0.077,0.1838
UMAD1,0.2227,0.0564,0.0666,0.0412,0.2262,0.0449
